SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,334 Main,Lawrenceville,PA,15201,365000,3,2.5,Lawrenceville,2774,,1905,3,132,,Active,,,https://www.redfin.com/PA/Pittsburgh/334-Main-15201/home/183395929,West Penn MLS,1588025,N,Y,40.4737114,-79.9612368
MLS Listing,,Single Family Residential,715 Riehl Dr,Castle Shannon,PA,15234,190000,2,2,Castle Shannon,939,7200,1950,4,202,,Active,,,https://www.redfin.com/PA/Pittsburgh/715-Riehl-Dr-15234/home/74490473,West Penn MLS,1588016,N,Y,40.3776558,-80.0143874
PAST SALE,,Single Family Residential,4350 Coleridge St,Stanton Heights,PA,15201,110000,2,1,Stanton Heights,918,2600,1955,4,120,,Pending,,,https://www.redfin.com/PA/Pittsburgh/4350-Coleridge-St-15201/home/73509475,West Penn MLS,1583836,N,Y,40.479019,-79.941922
PAST SALE,January-28-1987,Single Family Residential,3170 Mcroberts Rd,Castle Shannon,PA,15234,79800,3,2,Castle Shannon,1859,6481,1925,4,43,,Pending,,,https://www.redfin.com/PA/Pittsburgh/3170-McRoberts-Rd-15234/home/74528123,West Penn MLS,1587638,N,Y,40.3700384,-80.0045769
PAST SALE,February-16-2018,Single Family Residential,3022 Glen Mawr St,Sheraden,PA,15204,70000,3,1,Sheraden,1428,2500,1924,4,49,,Pending,,,https://www.redfin.com/PA/Pittsburgh/3022-Glen-Mawr-St-15204/home/74627989,West Penn MLS,1584532,N,Y,40.4573471,-80.0530667
MLS Listing,,Single Family Residential,2111 Plainview Ave,Brookline,PA,15226,125000,3,1,Brookline,1282,3532,1955,4,98,,Active,,,https://www.redfin.com/PA/Pittsburgh/2111-Plainview-Ave-15226/home/74695487,West Penn MLS,1587865,N,Y,40.4012304,-80.0201527
MLS Listing,,Single Family Residential,1012 Abdell St,Manchester,PA,15233,49900,3,1,Manchester,1536,967,1914,4,32,,Active,,,https://www.redfin.com/PA/Pittsburgh/1012-Abdell-St-15233/home/74734112,West Penn MLS,1587619,N,Y,40.4527,-80.019852
MLS Listing,,Single Family Residential,870 Vista St,Spring Hill,PA,15212,4900,3,1,Spring Hill,2800,6908,1900,4,2,,Active,,,https://www.redfin.com/PA/Pittsburgh/870-Vista-St-15212/home/74557056,West Penn MLS,1587991,N,Y,40.458671,-79.9961226
MLS Listing,,Single Family Residential,874 Vista St,Spring Hill,PA,15212,4900,2,1,Spring Hill,1320,6939,1900,4,4,,Active,,,https://www.redfin.com/PA/Pittsburgh/874-Vista-St-15212/home/74557055,West Penn MLS,1587994,N,Y,40.4586609,-79.9960199
MLS Listing,,Single Family Residential,1102 Oswin St,Elliott,PA,15220,40000,2,2,Elliott,1065,2199,1920,4,38,,Active,,,https://www.redfin.com/PA/Pittsburgh/1102-Oswin-St-15220/home/74535872,West Penn MLS,1588001,N,Y,40.4434507,-80.0431083
MLS Listing,,Single Family Residential,4027 Haldane St,Greenfield,PA,15207,169690,3,1.5,Greenfield,1515,2500,1896,4,112,,Active,,,https://www.redfin.com/PA/Pittsburgh/4027-Haldane-St-15207/home/74674300,West Penn MLS,1587974,N,Y,40.4245599,-79.9428461
